challenge_id,challenge_name,status,prize,days_length,reg_start,reg_end,reg_date,no_of_reg
30048059,"TopCoder Competition Engine - Fix Challenge Message","Cancelled - Requirem",80,31,2014-12-17,2015-01-16,2014-12-17,7
30048059,"TopCoder Competition Engine - Fix Challenge Message","Cancelled - Requirem",80,31,2014-12-17,2015-01-16,2014-12-18,3
30048059,"TopCoder Competition Engine - Fix Challenge Message","Cancelled - Requirem",80,31,2014-12-17,2015-01-16,2014-12-19,3
30048082,"Web Arena -  Fix Match Plan Issues",Completed,200,31,2014-12-18,2015-01-17,2014-12-18,5
30048082,"Web Arena -  Fix Match Plan Issues",Completed,200,31,2014-12-18,2015-01-17,2014-12-19,8
30048082,"Web Arena -  Fix Match Plan Issues",Completed,200,31,2014-12-18,2015-01-17,2014-12-20,1
30048170,"Web Arena - Create Consolidated Setup Guide For Windows",Completed,100,31,2014-12-23,2015-01-22,2014-12-23,2
30048170,"Web Arena - Create Consolidated Setup Guide For Windows",Completed,100,31,2014-12-23,2015-01-22,2014-12-24,3
30048170,"Web Arena - Create Consolidated Setup Guide For Windows",Completed,100,31,2014-12-23,2015-01-22,2014-12-25,1
30048188,"Web Arena - Create Consolidated Setup Guide For CentOS 6.x",Completed,50,31,2014-12-25,2015-01-24,2014-12-26,3
30048189,"Web Arena - Create Consolidated Setup Guide For Ubuntu",Completed,50,31,2014-12-25,2015-01-24,2014-12-25,1
30048189,"Web Arena - Create Consolidated Setup Guide For Ubuntu",Completed,50,31,2014-12-25,2015-01-24,2014-12-26,3
30048189,"Web Arena - Create Consolidated Setup Guide For Ubuntu",Completed,50,31,2014-12-25,2015-01-24,2014-12-27,1
30048190,"Web Arena - Create Consolidated Setup Guide For Mac OS X",Completed,60,31,2014-12-25,2015-01-24,2014-12-26,5
30048230,"Web Arena Fix - Turn on auto end when creating SRM Round in Match Creation Wizard",Completed,50,31,2014-12-30,2015-01-29,2014-12-30,2
30048304,"Github Wiki Creation - Create Wiki Page for Creating SRM Problem Using MPSQAS Client",Completed,50,31,2015-01-05,2015-02-04,2015-01-05,1
30048305,"Github Wiki Creation - Create Wiki Page for Creating MM Problem Using MPSQAS Client",Completed,50,31,2015-01-05,2015-02-04,2015-01-05,3
30048306,"Github Wiki Creation - Create Wiki Page for Creating Mararathon Match Using Admin Tool",Completed,30,31,2015-01-05,2015-02-04,2015-01-05,4
30048307,"Github Wiki Creation - Create Wiki Page for Creating Single Round Match Using Admin Tool",Completed,40,31,2015-01-05,2015-02-04,2015-01-05,5
30048337,"TC API - Set Round Components API Update",Completed,50,31,2015-01-06,2015-02-05,2015-01-06,2
30048337,"TC API - Set Round Components API Update",Completed,50,31,2015-01-06,2015-02-05,2015-01-07,2
30048338,"TC API - Get Rounds API Update",Completed,150,31,2015-01-06,2015-02-05,2015-01-06,2
30048338,"TC API - Get Rounds API Update",Completed,150,31,2015-01-06,2015-02-05,2015-01-07,1
30048339,"Web Arena UI Prototype - Update Icon for Run System Tests",Completed,50,31,2015-01-06,2015-02-05,2015-01-07,7
30048369,"Web Arena - Show Editorial Link Properly in Practice Problem Coding Page",Completed,150,31,2015-01-08,2015-02-07,2015-01-08,1
30048369,"Web Arena - Show Editorial Link Properly in Practice Problem Coding Page",Completed,150,31,2015-01-08,2015-02-07,2015-01-09,9
30048392,"TC API  - Authoriziation Logic Update - flag Web Arena Super User Role",Completed,50,31,2015-01-12,2015-02-11,2015-01-12,7
30048409,"Web Arena UI Prototype -  Update Coding Arena",Completed,150,31,2015-01-13,2015-02-12,2015-01-13,10
30048433,"Web Arena UI Prototype - Fix Toggle for Theme Switcher",Completed,20,31,2015-01-13,2015-02-12,2015-01-13,1
30048433,"Web Arena UI Prototype - Fix Toggle for Theme Switcher",Completed,20,31,2015-01-13,2015-02-12,2015-01-14,1
30048435,"Web Arena UI - Current User Highlight in Chat Widget",Completed,30,31,2015-01-13,2015-02-12,2015-01-13,1
30048435,"Web Arena UI - Current User Highlight in Chat Widget",Completed,30,31,2015-01-13,2015-02-12,2015-01-14,3
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-13,2
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-14,4
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-15,2
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-16,1
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-17,2
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-19,2
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-20,1
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-21,1
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-23,1
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-27,1
30048437,"Web Arena - Fix 'Back to My Room' Button Displaying  Issue","Cancelled - Requirem",60,31,2015-01-13,2015-02-12,2015-01-30,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-14,8
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-15,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-16,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-18,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-20,1
