challengeId,challengeName,status,prize,daysLength,registrationStart,registrationEnd,registrationDate,noOfRegistrations
30045320,"Fast 72hrs!!! Module Assembly - Web Socket Listener - Track User Actions From Web Arena",Completed,750,3,2014-08-23,2014-08-25,2014-08-23,8
30045320,"Fast 72hrs!!! Module Assembly - Web Socket Listener - Track User Actions From Web Arena",Completed,750,3,2014-08-23,2014-08-25,2014-08-24,1
30045535,"TC HTML5 Web Arena Bug Hunt - Suvery and Questions Support For Contest Registration",Completed,300,3,2014-09-02,2014-09-04,2014-09-02,6
30045535,"TC HTML5 Web Arena Bug Hunt - Suvery and Questions Support For Contest Registration",Completed,300,3,2014-09-02,2014-09-04,2014-09-03,1
30045536,"TC HTML5 Web Arena Bug Hunt - Challenges and Challengers",Completed,300,3,2014-09-02,2014-09-04,2014-09-02,7
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-04,3
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-05,1
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-07,1
30045627,"Web Arena UI - Calendar Update for Contest Plan","Cancelled - Zero Sub",2250,3,2014-09-06,2014-09-08,2014-09-06,1
30045627,"Web Arena UI - Calendar Update for Contest Plan","Cancelled - Zero Sub",2250,3,2014-09-06,2014-09-08,2014-09-07,5
30045627,"Web Arena UI - Calendar Update for Contest Plan","Cancelled - Zero Sub",2250,3,2014-09-06,2014-09-08,2014-09-08,3
30045643,"Web Arena - Add Grunt Jslint Task",Completed,30,31,2014-09-05,2014-10-05,2014-09-06,4
30045694,"PoC Assembly - Share Member Status To Facebook and Twitter",Completed,1200,3,2014-09-18,2014-09-20,2014-09-18,10
30045694,"PoC Assembly - Share Member Status To Facebook and Twitter",Completed,1200,3,2014-09-18,2014-09-20,2014-09-19,3
30045694,"PoC Assembly - Share Member Status To Facebook and Twitter",Completed,1200,3,2014-09-18,2014-09-20,2014-09-20,1
30045695,"PoC Assembly - Invite friends To Participate On A Match From Facebook and Twitter",Completed,1500,3,2014-09-17,2014-09-19,2014-09-17,8
30045695,"PoC Assembly - Invite friends To Participate On A Match From Facebook and Twitter",Completed,1500,3,2014-09-17,2014-09-19,2014-09-18,4
30045695,"PoC Assembly - Invite friends To Participate On A Match From Facebook and Twitter",Completed,1500,3,2014-09-17,2014-09-19,2014-09-19,3
30045699,"Create SRM Contest API Update",Completed,50,31,2014-09-09,2014-10-09,2014-09-09,5
30045700,"Create Round API Update",Completed,50,31,2014-09-09,2014-10-09,2014-09-09,1
30045703,"Module Assembly - Web Arena Bug Fix 20140909",Completed,1800,3,2014-09-09,2014-09-11,2014-09-09,8
30045703,"Module Assembly - Web Arena Bug Fix 20140909",Completed,1800,3,2014-09-09,2014-09-11,2014-09-10,2
30045703,"Module Assembly - Web Arena Bug Fix 20140909",Completed,1800,3,2014-09-09,2014-09-11,2014-09-11,2
30045719,"Module Assembly - Web Arena - Local Chat Persistence",Completed,1500,3,2014-09-12,2014-09-14,2014-09-12,5
